Drugs,4096139.8799,325091.1377
Theft,4095536.0023,325027.8961
Community Policing,4095854.1602,325215.314
Traffic,4095079.1538,324942.7359
Community Policing,4095020.745,325028.8469
Theft,4095490.4185,324869.2594
Other,4095390.1873,325038.3583
Property Crime,4096177.2764,325917.7378
Theft,4158156.7856,325098.2281
Other Sexual Offense,4159494.5645,323776.1983
Theft,4161204.6694,322811.5159
Theft,4158965.1443,322397.5005
Theft,4156142.7193,327203.4096
Theft,4161023.3504,319140.0705
Theft,4155175.978,326933.1547
Assault,4157341.5873,324582.6838
Theft,4158973.6163,323709.6663
Theft,4159740.6105,325962.8647
Theft from Vehicle,4159901.163,325328.6546
Community Policing,4162581.4371,319273.0582
Family Offense,4163177.0006,318550.9064
Other Sexual Offense,4281029.3539,250210.278
Other Sexual Offense,3760477.5313,669713.6132
Other,4095458.4692,326043.7457
Theft,4162250.7934,321072.0155
Theft,3761704.2025,670056.028
Sexual Assault,3761915.4119,671907.0214
Theft of Vehicle,4151213.9715,328066.7792
Assault,4154718.5602,324974.0722
Disorder,4160831.7558,322578.4559
Other Sexual Offense,4162377.6146,325692.9207
Theft from Vehicle,4163238.2718,319468.5976
Theft from Vehicle,4163447.3639,318174.6935
Family Offense,4162324.5843,325738.4751
Liquor,4162581.4371,319273.0582
Liquor,4156174.6298,330889.897
Family Offense,4158585.8145,325229.9363
Theft from Vehicle,4163180.9787,319520.0272
Traffic,4160406.7601,323724.5646
Vehicle Stop,4158721.7277,325620.7122
Disorder,4158897.7127,325656.2571
Theft,4159494.5645,323776.1983
Community Policing,4160623.6018,322244.1642
Theft,4158423.1544,327910.861
Family Offense,4160016.0125,327955.2332
Theft,4160343.2409,326130.5112
Vehicle Stop,4155213.7885,327447.9138
Disorder,4162163.7439,320940.8456
Disorder,4156335.8753,325940.1242
Theft,4157442.4275,330282.5723
Theft,4158436.0676,322017.3478
Theft,4159740.6105,325962.8647
Theft,4160001.3997,322835.7941
Family Offense,4160230.6916,322142.1221
Community Policing,4161108.5988,324226.2265
Theft,4161263.4319,321295.2641
Breaking & Entering,4160008.5107,323744.1095
Theft,4160470.8884,322884.2792
Assault,4162324.5843,325738.4751
Community Policing,4155324.5781,326646.2721
Assault,4156335.8753,325940.1242
Breaking & Entering,4160871.9064,321874.0916
Theft from Vehicle,4159901.163,325328.6546
Traffic,4159937.292,324737.2036
Theft from Vehicle,4159812.2344,325462.6239
